"filename", "language", "Python", "Batch", "pip requirements", "Markdown", "PowerShell", "JSON", "Properties", "JavaScript", "CSS", "reStructuredText", "XML", "C", "comment", "blank", "total"
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\compat.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\core.py", "Python", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74, 401
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\idnadata.py", "Python", 2149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2152
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\intranges.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 55
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\package_data.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\idna\uts46data.py", "Python", 8511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88, 8601
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 58
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 49
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\msgpack\ext.py", "Python", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41, 194
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py", "Python", 857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 132, 1011
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\__about__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\__init__.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 39, 302
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py", "Python", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 137
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\_structures.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 62
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\markers.py", "Python", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74, 305
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\requirements.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33, 147
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py", "Python", 490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 157, 803
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\tags.py", "Python", 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 89, 488
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\utils.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 137
